," =COUNTIF(A:A,A1)>1"
cd2ea071-8b60-96de-1979721f534d,Databricks issue
703e8c27-e239-054d-9f76218500c1,[ARR] [Sev B] SR-2203020030002269 DBR issue regarding performance
7fbaaa54-ea1a-e935-bdcde0884d36,2203110050000101 || Genie Access Request
bbce4d67-11dd-925d-53dbda3d2683,Cluster terminated.Reason:Unexpected launch failure
08a5a2ea-07f6-1d2e-77432a8ef0be,ARR | need to get permanentDelete log for the specific cluster IDs | 2201280060000162
afd39cff-afa8-61ba-a3948e4a0000,Genie Access - SR 2203020030002269
f6961459-2f99-17ca-56d62aa38d5b,2203030040006502 - Intermittent Databricks error connecting to Storage - AzureADAuthenticator.getTokenCall threw javax.net.ssl.SSLException : Connection reset
3bdbe01b-a70e-e2ed-87e03cb68052,NoClassDefFoundError: com/facebook/fb303/FacebookService$Iface
f5f5d3d2-11d3-3e1d-2faedf86faa9,About access to Databricks workspace(WebUI) by Private Link
6e94c21d-8238-f004-95447729803e,2.20E+15
08618776-4bfb-57d3-c305dfe37f0a,genie
d0e51b04-78a0-8909-feca79f015f3,genie
30a6f6db-ac95-ae87-785889062bfc,ARR |  Standard Chartered Bank | bokeh interactive chart cannot be displayed in databricks notebook| SR:2203090030001237
dd368fb7-af5c-0c42-812b5777bb7c,Spark programs are  getiing stuck
b9112c32-b978-6a20-739d043c2f38,request to update  a  doc
6407913e-6dea-9bca-5187f71e34aa,2203090030002324_Need_Genie_Access
9ef9e2c2-5379-95d3-4b6bac8fe7a2,Clusters taking time to spin up & running slow
f0cf828b-90b9-2770-d46cc3bb2b2a,Instance was not reachable
a61a66c6-43ea-7253-5351a65f22c5,To Address ConcurrentDeleteReadException in Dev Environment
3201fbc6-8485-bd20-890b26ecd6f4,"Many jobs failing with ""unusable since the driver is unhealthy"""
6758f2c3-ff78-3c4c-e1a3eed5c28a,CSS-SFMC-2202280030000859-SparkOutOfMemoryError Issue
7c6f8bdd-7477-b823-fd48fe71bbe6,All jobs jobs stuck in pending state for more than 48 minutes 
c91a044b-ff92-3fc9-a81dc773eb22,Jobs failing in our production enviornment due to cluster issues
01a60868-7bd0-d6a6-094df53d5bda,genie 2203110030000203 
47a8b7c1-2b7b-5f79-ca74cee2d61b,[ARR][ADOBE][2203100010002839 ]Need increase TBL_NAME column size in databricks meta store
d932f7a9-5ab3-3cf0-849cc5b099cf,Delta tables not accesible
90db3d6b-c2d9-ee7b-0a2596ce7d0e,genie
d671456b-b242-16c1-af17a2d44e80,2.20E+15
82d1afec-e846-1790-63736b59c98f,what is the current status of Databricks sql serverless compute for Azure
c56f2d82-7638-7bc9-d11d30cf640b,Databricks to investigate an issue with an hourly ingestion job we have running on our live Databricks service
1c72cd36-1f52-331a-8f118b46441b,Performance was downgrade when using 3.1 from 2.4 
318bf75f-7b75-11c4-9e128f433998,Genie 
33e3594b-1143-d4da-9ef24611f85c,ARR | 2203110030000203 | Notebook activity taking more than the usual time and had to cancel the job
3fb13a42-b213-06e0-0385f1019b18,genie
46c2b129-b314-120e-86d95a8723b9,Genie Access - SR 2202230030000040
9009accf-27f3-4eb9-43a82803a876,Databricks notebook jdbc connection
76733690-6e40-dbaa-c141daa94be3, Job aborted due to stage failure
223d80d9-e161-a77a-691c6045772f,Python dependency issue
4dca0184-68ab-1124-66a824a387e0,Streaming Kafka topics was working but now the notebook cell is stuck in stream initializing
7f84b884-d3e4-e465-1bfe81859164,cluster config
b9b4ef4a-ce61-b822-0160aab2981d,Genie : Adobe
6cf0081a-c413-f027-6381c2a7d107,Data Loss while writing data to Azure SQL Database via Databricks
73fbad88-2302-a6ce-5540f95824ad,Issue with SCIM Provisioning from Okta
9933879c-e24d-776c-ca0b510dfb99,ARR - connect timed outshaded.databricks.azurebfs.org.apache.hadoop.fs.azurebfs.oauth2.AzureADAuthenticator$HttpException
4355b7d8-ac50-3a50-bdc6ea434bfa,Spark workers wont start on DBR 10.3 
da60b56e-d151-7659-7b2c1885dfd1,Connecting external data source using JDBC connection from Notebook 
59ea1666-fe24-5fd0-03eadc29da1b,SQL ODBC Connection Issue
349c0f2f-e62d-eafb-2135224a9356,cluster provisioning never finish
9a42e96f-6817-886e-553bc18f3812,Setup Overwatch in PROD - Job Hanging 
3e1de912-d82d-2cdc-35e85bf47b88,genie-Capacity VM SIZE-
b265cdd1-cc19-3571-2342b3ba03f0,issue running vacuum on delta table
fb3663ae-eba4-fca8-83f39a6cf6dc,Genie: GEP || 2203100040007151 | Subnet Exhaustion
7f769f2d-1da6-55a7-812b7b2acb19,2202280010003137 | Job Issue
393cb4e8-471c-c37d-eebdc0da91c2,Parallelizing Python XGB code using Pandas UDF
e8cb3f3d-22c9-824b-081243c84e0e,AWS secret Redactor class name (com.databricks.spark.util.RegexBasedAWSSecretKeyRedactor) could not be instantiated
cf639360-fcfb-99bb-71194894f333,Need help in establishing connection between databricks and tableau
4149902b-9e04-d33f-e3603644e478,Genie:ARR: Unable to use defaultvalue in the cluster policy definition as per documentation :SR 2203100040006979 
90ab0dc1-4366-71df-1b5f85785094,genie access
07f77014-4ec5-5392-a91abcbf61a2,ARR:Follow Up 00136393:Need to get an instruction for make a backup hosted Hive Metastore database: SR2201280040004720
4436c9bb-6bc4-378a-df51bee84fb1,Unable to connect to MLflow from databricks notebook
20e3c765-10f2-9cd5-6d95f8052fbf,need assistance with troubleshooting single-sign on SAML provider
700db649-21f5-4c49-18c1a66c6fb4,sql query hangs forever
fda2c8c6-7263-b655-ab4d1fe47b2d,permission api fails for get/put/patch
205e2691-ef5a-570b-fe520602ad17,2203080040008835 | Job Failure
eb6d49f5-5bc1-f749-047c433dbd52,Delayed Cluster Start
a3b46a85-a57f-ada7-261fbd046d9f,Python Package deployment - Wheel
8a93d11a-991b-adfd-0cfd9065c80a,GitHub Repo: Non-Notebook files enable
b822e897-1756-ce3b-1949a25d0667,Shell| MCDR Data loads| Slow Running Job Runs
c069661f-891f-2bae-a91121ecb1d6,Follow Up case for 00131300 - Metastore down
8c6c577a-697f-c8fb-b7698f584686,2.11E+15
ce8c61c4-5e07-eda1-bd05726e1412,"ARR Customer: Air Canada - Cache command not working in Databricks 9.1 LTS (includes Apache Spark 3.1.2, Scala 2.12)"
081add8c-1f48-c996-56157c018dd4,Databricks changing table schema on Hive with single SELECT query.
a798ad21-3a27-f20b-f179a31df4d0,genie - Issue in installing fbprophet library in databricks
43e09ad7-fd9f-4a35-f52552d6fa3c,Workspace name prefix
94d3d7d8-452e-0a1d-0a7341c8f3c3,Aon aws privatelink enablement
41aa2f7f-afc6-8c4b-7d8e3bd3181d,apt-get not working in repo
2dad05fc-afd1-6edf-b852ff991cc5,ARR 2203100040005518 - Photon - Error Spark Query Fail 2.7T Rows
d7dbba8e-0a24-51bf-753a12df491a,Notebook Detach Error from Generic Cluster
cbc5d378-f6d9-9f2a-dd86eb1b4be2,2672722931955537 - 32ed6935-355d-4b62-8e63-1901e62882c9 - 2203090040008761
2dd87256-0355-28cb-94dd22aef01b,Name and description for automl using api
9f13c941-f010-0357-a14821141cd9,We would need to know exactly what kind of data are transferred to the U.S.
f7a1f41b-feea-104e-a24c5ce914c8,Convert to delta - error
3a2f11fa-2ef5-52a8-8dec49d8b0b6,Long running query on Hive metastore
2205ffa6-68a3-f886-3503badb6d52,genie
a7eeafe7-bd45-5b42-a392302c6cd8,Job falling and users loosing their access
eb186e1c-f7cc-49a0-a2627c9c9bef,Job run with javax.net.ssl.SSLException: Tag mismatch message
f04f0240-53ec-90b3-c80374a517e3,2203070050001068 On cluster large amount of libraries started reinstalling at the same time
411b17fb-f995-693f-ebc14764fb4f,Streaming cluster execution failed 
2b661aec-8326-0e8e-be5bffed5cce,Create databricks service account
d1c53367-facb-58d9-591eb0624434,Cluster API open API specification
32b5dd7a-804f-6bc2-cabeb18bc04f,CSS-ARR-S500-SR#2203100030001527-Genie Access Request
158eb145-efc3-5ce9-ea641ac90866,Ordering of groups breaks when showing a visualization on a dashboard
18fa250d-107e-d9d0-83c5601deaff,Perfomance issue when upserting data to SQL server
fa04abf0-c84a-82e9-9bdefe145f6d,CSS-ARR-S500-SR#2203100030001527-Genie Access Request
fa289d4a-5dc6-1659-ab0d3b54c351,ARR | 2111010060002465 | Follow up case of 00131582
fba2e86d-7ba0-be81-cfe3a73d5408,Encounter Power BI refresh error
8953c2f4-c1d3-7073-010537c1b9b0,change cluster tags while cluster is running
3ee9adcc-0378-f3f0-f5f0ac140657,Need to increase log size
47c98d57-25a9-56b6-ad7b9e0b1036,This is a follow up ticket for 00136278 & 00135879
09abc39c-6458-1363-98ebc01c4b37,Jobs failing intermittently
d0c8d698-f7bc-e87c-7f13b1fbba4e,2111010060002465 | ARR | genie
e365ec31-d657-ba46-de6567181c83,OOM ConnectionException error
690c1f47-5892-42c2-ce3ad5097ca4,2201190050002128_Need Genie Access
52773dd2-5562-0de6-0eade1bcb72c,Node communication lost errors and severe performance issues
5c226992-5cd5-a9be-106c6d2ed271,Databricks issue
8cbb5d02-56cb-3dfa-13d9e591c3e1,Genie 2203100050000287 WS 2937594021117191 GSK
aa0bfb46-dd04-6c57-cf4564b4acb3,gar for 4183351414232726
0b7655e0-d3c1-9e0b-b8c22324776c,job-cluster-config-change-does-not-take-affect
8fbb8e8b-f6e4-e832-69e020713382,TWN | SEV A | Azure Databricks | Azure Data Bricks無法建制
748b94e0-9894-205a-5d84c413b0ac,E2-Migration cross account S3 mount doesn't work
3eea44d7-6b84-99de-921d4bc04a77,"Cluster ""etl_Cluster"" was reboot at 2022-3-6 0:05:32 UTC"
27263a78-39c7-5631-c12444c96773, Having multiple issues in Databricks
2438581c-fb4a-e472-b0c81c7a2ab7,[ARR][2203100030000155][Cluster Driver shuts down in a middle of ADF job run]
7ca89c62-e8b8-d459-9c567d57f0d1,Follow up of 00134529.
2d035658-eac1-a126-e69450a6e8be,ADB dynamic floating IP's
7f907975-3473-4f3e-2cd938848f9b,[2203100030000155][Genie][he spark driver has stopped unexpectedly and is restarting]
93f802ae-63f7-bda4-4069570490ea,Gennie Access
d66e9c85-9862-5436-cf4cb5d44292,JOb CLuster launch failure
d92c557e-c3c9-b561-10aba5180158,s3commit exception
eb8200bb-6716-0150-0cbb9ff9d2c8,genie
6611b56c-8a0f-d5dd-d5b3c37c0867,Spark ODBC driver giving error
9ceadfb0-4a1c-6fa2-225383c82e91,MLflow Model Registry Webhooks on Databricks
af058184-82ee-3cb5-e26624e6d01a,2202280040004010 - Issues importing Library
89a199a1-b465-cd87-fb95e461bcbf,The cluster ID you specified does not correspond to any existing cluster.
a5b80901-926c-b37f-721f0bb6deb6,Follow up ticket for SF 00136980
d6d96302-564d-7fa7-338798fbdced,Need help with the error
664e96ca-a93b-1cb8-b1519e790af0,Confirmation on AHA requests for IAM roles launching workspace from azure portal
ee46791f-94ae-fe95-27854d98b3e0,Notebook not found error
a83a362c-1171-cc06-5e12b834e958,Genie: UHG | 2202030040006185 | production job failures at different level
167896ab-75de-5670-0334b068ae39,2203100030000168 Genie
770923c1-5086-61f1-24efc4595826,Genie-2203100030000108
e55da54e-48dd-820b-8e7436bee77c,Questions regarding cache in sql endpoints
38f97ace-e606-5a5a-e877dc49b776,SQL ODBC Connection Issue
5a9c4cfd-a756-6e78-f0ea5399c75f,SQL ODBC Connection Issue
0947557a-3a98-dea2-b85bde0a1467,loading csv file with multiLine option enabled results in incorrect data 
51079271-1e2a-18c5-7971be4b3977,9274 - ARR - Alaska Airlines - All jobs failing in this workspace for about an hour. Cannot create clusters.
7b7e2aee-08fd-4fd1-12ea76549351,Genie: Integra LifeScience | 2203090040007835 | SocketTimeout Exception to ADLS
adb2a6c5-c40e-df11-db6986cd87ed,Issue with MLflow Model Service
ef4744fb-cae5-c6e6-b06254818539,Our users lost admin!
0e76f9ad-66b1-cbb8-4caba722118f,Azure Workspace access for Shubham Pachori from Databricks
87e8ec82-51ef-be96-acf1c228bb3f,AWS Workspace access for Shubham Pachori from Databricks
086af9b5-5591-970d-e5effa0694ae,The managed storage account is 45.5 TiB in size. Our delta tables contain 500GB of data. Where is the 45 TiB of data coming from?
741c44db-507f-1da9-bf1054e8f546, PowerBI - Databricks intermittent errors
194f5764-c208-ec1d-da1149676b35,ARR- Genie- Unable to connect to Azure SQL using ActiveDirectoryPassword via PYODBC - 2203090040006229
19563c50-e4d9-3f07-d5190ca24a5b,genie-customer's notebook is taking longer time to finish from ADF
ef5f13e2-b7ee-e43f-8ba30972c813,test
3477b04a-41c6-dc5b-83634b7e7732,2203080040007597SF || Databricks Autoloader
29c9932e-63f1-a98a-b290d04acb5e,How do we simulate run_id int64 change impact before 3/12
3a738028-29e9-92e2-be9dc0b0710f,ARR - Test Consent to False
1776eb4d-2eb3-b6a0-3fd3dfb54946,"Follow Up - 00135252 || Notebook getting a transient, intermittent error updating DeltaTable log with last check point"
d7ccf3c0-272f-b249-5814e016b34b,How to get a job run_id from within the job?
38b048ab-fff9-b11a-c28edf29388a,Error of Invalid token when access using Job API
cca62dc1-62dc-3535-8522e33d7589,/2.1/jobs/run-now endpoint returning terminated job run with specified idempotency token
dc411c4f-b7b5-e31e-efad5e5a53b9,8155699648181868 - ba0678f9-6421-4c8e-9427-df0f92987854 - 2203090040005008
045f8db1-2cd1-632d-d7f13faefda3,ARR - Adobe - 2202230010001928 - Cluster failure due to throttling
343fd57d-7a15-c206-98356c6be28f,genie- Autoloader Failure: No such struct field delta in delta.enableChangeDataFeed
6716733e-2da0-8678-4b91d6e7b728,Details Billing Report
5c4bb351-2bd3-882e-a5bb4b0779a8,Genie Access Request
14a1db38-1d4d-30d0-e5fb7224e29c,2203090040006252 | Job Failure
11da8fce-63d8-4fdf-7fcced45ee17,Delay of S3 Change After Writing to Delta Table
2e899b8a-720b-188a-e8cd25df6db1,List all jobs return maximum 25 jobs
3a7475ff-438b-ef6f-4f2de52166d9,What AWS resources can we clean up after the support case 00136659
da2c23f4-4fb2-d272-349897fb7bff,2203090040005583 | Job Failure
918b2d6d-e6cf-1aa5-384762e2239c,Query returning wrong results
2fafd932-55f9-dbae-6cd6dba08b0a,Azure DevOps Integration is failing since 3rd March
9467908e-eaeb-b6df-69e0b2c0ba9a,ARR - Query Aggregate summation results in zeros in SQL Endpoint - 2203080010000161
e73b3c54-3060-c691-d37660049e3b,AWS MSK - Databricks Authentication
d10226a8-5b70-2712-cb7107581710,Python package error
eaeff397-91d6-e386-d9ae1a00d38b,error with RegressionEvaluator.evaluate
9e4f5da9-6cbe-9f84-8501b900fe1b,2203070050001153 genie
8302d0eb-abaa-63d4-d112420bf3da,Error in init script execution
59e906b4-633d-f2cb-b07f9d0711df,Increase number of secret scope
26e5af11-40a5-7d01-2dfb6867fdae,Genie Access Request
fcbc8024-496a-6365-493de63e518b,Issue Created Cluster in New Workspace
4ec5a335-a39a-c891-a63f6ef8ed5c,[ARR] Failing due to spark.rpc.message.maxSize has to be increased
d68fc4cb-7274-12fc-76a9e96146ae,S3 exceptions on HEAD request for bucket
af749739-1631-5cf0-471f6f404b54,User login issue due to Databricks SCIM API issue
b60deb3f-3371-1516-7f29010c9c74,Unable to register UDF function with ouput as java.time.instant.
258186a9-ff65-f633-742ba202392c,ARR | Issues with vnet injection - comunication between vms not possible | 2202180040006371
9bea6c2d-e83d-d744-4dab2ac374d2,Some Tables are missing from one of our Production workspace
14d7a6f4-b87b-36e9-cdab34d5b995,Genie Access | When trying to copy data from ADLS Gen2 to SQL DWH(Azure Synapse) we get the error with max char length issue 
4bc363eb-8dd4-cf57-35c1a41360cc,2203090050001300 - RowMatrix code being stuck on DBR 9.1 but works on 7.3
c540d23e-d5f5-a188-a8398f0e5639,Out of memory error in Databricks with R code
7a5b29d8-1fb3-0347-a8670ef108df,Connect databrick work space with azure SQL managed Instance through JDBC
a1ffff31-6bab-04a2-8de6b2dfcf2b,Genie access - 2203090050001300
27c151f1-0967-3805-5fdd5897d84d,Databricks job got stuck for 7 Days 
38f6bffa-8a7e-c441-4ee211c7e9b0,Server encountered an internal error. Please try again after some time
d81b9030-0793-b9d9-9f908643f49e,Databricks job got stuck for 7 Days
66430f98-f4b5-a212-25d75c2c2a54,Enable dbutils.secrets.get
aa0785e0-0048-d903-6b870d9f4189,Databricks job got stuck for 7 Days
e1f1eb9d-7f3e-08e0-e49b0009ab3a,Running a Databricks notebook is slower than running the same notebook in the DevOps repository
287ff019-f97f-ad62-1b3621210e21,Databricks issue
30382ee2-4bce-bb46-c77d6aebdd15,failing job
b22b7336-c203-7455-c9306a360d54,Unable to connect via azure vnet. ||S500 ACE cx.
7cc550fb-0e57-70df-ec8c1c3064ac,2.20E+15
c68ec8d0-33c8-7715-7bcb7752a963,kafka <-> spark SSL handshake failed error
457f7917-0b20-f715-812f88c5c6e9,Spark streaming submitted with 300 seconds batch interval is not working as expected and by default it takes 1 second | ARR SR# 2203080040001036
89748b57-51a8-9d96-2357c086a910,2203090030001237 genie
22d5076c-dffb-f309-12344ed2a20a,deleted cluster
445d26d2-6d44-9a7a-9668f939dda2,Can't write table into SQL Data Warehouse (Synapse Analytics) from Databricks
d1a55349-2ae8-d5ae-835f7a5d9eac,All Delta live tables failing in production environment
4d0b6fd5-41b1-9696-e5f98aecfbed,Databricks execution failed with error state Terminated
5fded5d6-2d46-0764-7f0bb5d31adf,Databricks to ECS connectivity issue
6d01a435-94a7-2f3b-0bf6927241b3,test
140431e3-1641-b005-02bd7782237f,Databricks to ECS connectivity issue
39c2993a-2b7a-00b4-7a81c54e37e1,2203020030000848 genie
c5193ca7-89b8-ba69-bd26b57760b9,Update resolv.conf for adding name servers
90b4b024-9d3c-7c8b-8a86f2fa7333,Unable to register UDF function with ouput as java.time.instant
bebf6444-54b9-4f8f-814ed3f4150b,Databricks to ECS connectivity issue
16588197-cb3f-2066-7ceb91376019,IP Address is out of capacity in Databricks - escalate to Databricks Team
0df8bf9c-ec2a-d5b2-a3d21f124afc,2203090050000138 || Genie Access Request
131c57b0-5768-446b-ef74589cb450,Genie Access | ARR SR#2203080050000413
9afb356d-c3ef-65ee-a692afd18ac4,ARR | 2203090040001426 | HP.com | Notebooks are cancelling with GPU errors
2c834a7b-f73a-c563-0e1891ff0299,[ARR] [Sev B] SR-2203070030001594  Unable to pull repo
aec52a5e-641d-dbaf-9b6df9bc6908,Genie-2202230030000085
ef9b3da4-8bee-36ad-6a7187d06c72,Genie-2202230030000085
81b51fff-bf10-56ea-348674098e72,CSS-ARR-SR#2203090030000660 -Method Too Large Exception
90b57e22-2c8b-37f1-269d760a631f,Encounter error when accessing CLI in databricks notebook
7d5b9b69-b410-9e7d-b607f9b58e2f,CalledProcessError: Command 'pip install 'opencensus.ext.azure'' returned non-zero exit status 1
7e7d5d12-633f-a3fa-5a13c9d0bf1b,CSS-ARR-SR#2203090030000660 -Genie Access Request
b2a8978b-30e9-3657-7dff921a87ca,Genie Spark write dataframe giving udf return'none' type error
86ad7b51-0bfb-847e-1c2582f9a223,2.20E+15
621b8eba-c8cc-e73d-c3ad32ff4ed2,"Driver is up but is not responsive, likely due to GC"
23ff18c9-2e8c-3d26-4368a78183f0,2203080060000023 -2
6201028a-2e27-3a11-506c196bd0e9,Can't save table from S3 delta files
8126cd8d-433c-09d7-c6fa61991dc1,AWS DNS resolution on Databricks platform
63e32887-0f19-4d66-bc82705e707a,2203090010000471 genie
3df2d8e7-4f88-67eb-64f5c01cb960,Returning data over SIMBA JDBC fails on larger extracts
2e8bcada-bcc2-a915-0e5d2bdb1b00,genie
b8440677-00ee-e780-3e9b28d26b74,genie
04be6df7-29c8-0059-f51a6bf54381,davidgenie
fc57afd6-0b91-cde8-0ecb3c38dee9,Azure Databricks - Data &#39;Import&#39; failure. Fails for medium to large table.
379a1873-9909-37a0-073b4b0f426c,Genie-2203090060000394 
763381b3-6dae-3bf2-d72f3862a9ab,Genie Access for 2202280040004010
1fd9ece0-5314-dba5-eb0cd0718f8a,2.20E+15
9cd60b75-8e67-8c26-364e71988b10,genie
742979b9-147c-254a-e6e2ed22e9eb,Unity Catalog: Quickstart Issues
932bcd74-5c62-2bd1-23e03e435abe,2.20E+15
9b11b43f-5fd2-8b32-8ec5e56c9b16,DAG jobs getting failed due to cluster issue
1f17dd4c-2620-703e-74acd995d6bf,[ARR][AholdDelhaize][Parquet to Delta column cannot be converted]
8b78ac85-438f-6551-36b842adc0e6,Facing issue with Databricks cluster create API
dce44f97-0d1f-f375-29fa7225e8ac,Trouble setting up git Integration for bitbucket server using git proxy cluster in E2
70c9f22e-162a-c997-969e7c6e5c0f,Photon Engine doesn't support timezone change or gzip
7c69b809-16a4-4636-2d5840bb02f7,Could not create a Table in the metastore specifying a location on ADLS  as the Databases was created specifying a location on a mount
be5b9194-01f6-aa14-bd4e2ed1854a,2085genie
b58b99ae-9e3f-58b7-f353b1cf229a,Genie Access - SR 2203080050001528
cbb47d3e-552b-4968-195cc8ba3e2a,Performance Dropdown when execute map partition
af2af151-a103-b834-741b8240c846,genie-Not able to connect to databricksSQL from querydsl-maven-plugin. getting SSLconnection exception
44b75935-cea0-fe29-0395cc7d87bd,Genie: Adobe | 2203080050002763001 | java.net.SocketTimeoutException: Read timed out
41d2e362-8522-27bd-4e77269dda21,1734genie
4454216f-a4f7-2cc4-e8fa6433a696,Performance issues with Databricks--2203060040000820 
c3300107-4aec-e595-1a1cad85d33a,Transformers4Rec on GPU cluster
533586eb-8d0a-2de1-69c9c0ba85e7,Jobs 2.0 Update API not properly updating docker_image for cluster 
376118b2-e877-42b4-37d95bdba23c,I can't start clusters
46bef4ad-7ce8-f6b9-8835a6eb3df2,Cannot run dbx deploy
8285ae51-872a-c5b6-c13d4193aec3,Genie access request
d5734097-69ce-a7cc-d9ac2479c204,Query using odbc is getting stuck
44a377d6-7ca6-01e8-7b70400c3f0b,genie-Not able to access databricks jar acitivity job run page
7973059c-84fd-bd89-6f631ccab4b0,technical
9b316a08-027e-7827-69b8a21ba5ad,Databricks jobs are running for longer time in E2 workspace compared to PVC
53d31b8c-25fd-fdde-5d126f4cacf5,Enable dbutils.secrets.get for use with DB Connect
40511e5d-e635-8bd8-58e81340734e,POC environment is failing while running terraform code.
15b370ff-63ad-a927-d53e97d621eb,Dashboards disappeared
bbcc6403-31d1-2fe7-6ef1db82643c, Jobs taking longer than usual on USC- 2202080010002833 
f781f69b-1e57-b248-4ef8188913cf,Can't start cluster with our jar (which works on other instances)
f7159feb-7d0c-6acc-db33861c62f6,genie-Cluster terminated.Reason: Cloud provider launch failure
423fabb5-9be8-584e-820632028bce,azure databricks cluster configuration not working
da435e77-6d3d-5f82-77059f539499,Overwatch Missing info 
18eec868-e0f5-d676-7f5aed7acfdc,2202070010003065 | Cosmos DB
81c2d8ec-080a-a70e-f06119fad4d9,Column value is null even the schema is correct 
e5dbbb62-0ebb-c84f-06cc81a32bf6,Queries on Databricks SQL pricing calculation
7ac915da-9044-1af6-fe52ee715b33,Business user from Biogen INDP team is encountering ConcurrentAppendExceptions when writing to a table multiple times using a JDBC connection
4414da93-519f-6286-fb94aade0dd4,The batch ingestion tasks are stuck or very slow when running on DBR 10.3
b5749088-970e-5967-d0a15d8f810d,Our notebook jobs training a pytorch model is getting stuck
1047e77e-3e52-fded-5c1747fd12b0,2.20E+15
2ea33977-1588-63ba-21b7dfe9fbfd,Pipeline is cancelling
eb65d916-9126-d1dc-de88488fba25,SSO giving saml_auth_error
9b08dec5-3007-f70f-4925ae4b0722,genie for #2202210050001736
45fe92aa-d608-4d25-62aa50ae6db4,Job Abort error
1157a13f-080e-3a4b-6691dcb06e8c,"Billing, inactive yet charged high amount"
74487dae-5273-011f-3bb9de896dff,Run Databricks Cluster Through Docker Container
22f91824-4b33-e1a2-374a83b7b019,Genie Access Request
56d91184-fb51-7d1d-fb1eafa6ab75,2203070040008075-genie acess
def94d11-fe9a-84b2-658e5bedc2dd,Batch inference using Spark UDF does not work when input is a numpy array
46818e9e-543e-256a-592e78da9751,unable to instantiate HiveMetastoreclient
a960b543-9b5f-dc5e-5a2fbdbf96fb,IP whitelist addition
3cd01089-b5bc-9e69-0847408d7aa3,Network Validation Failing but no valuable logs
0ad94aa3-1097-6a6e-35de7e2f759f,Help ingesting data from SQL Server using Windows authentication
6e299c2e-096a-1c4c-26443b45f5ef,Problem with user account
17f15f67-4d45-ceaa-7ce7dc7794b2,Unable to start cluster 
8609ae4e-7cbf-02c6-ad56284a68ed,Not able to download S3 objects which are written from Databricks
4c4e007f-92fb-dd2b-2d83ca6212c5,Access tocken for applicatio
443e7cea-ccd7-4a35-8db6cc334b2c,Spark Streaming Not Outputting All History
9082cb2e-c59b-4e86-7efb3c961e4a,Okta Push Groups failing for groups with parent
0a6ad15f-e787-ab5f-a865f9ecf165,2203080030002133-genie acess
554c0f03-cd19-2bed-c50b34c8f366,Inconsistent output in different executions 
32366dc6-1046-0eff-b02fa0abbcef,EXTREMELY URGENT  -  SQL endpoints failed
6a9a2f84-073d-9c2e-f057140c1de2,Unreliable JDBC connection credentials
951b3925-cdcf-3717-46dcbc146398,Genie- 2203040040004381001-
297e2d33-28bb-16cf-89e5cb6850cc,Autoscaling Failure on Interactive Clusters
3c8599af-b5b5-fe2b-3c8836846455,genie
97c07bbd-da31-8344-ba1e344b4ff3,Picking Up New Runtime version on Job Cluster
1f3a84ab-039e-e663-af56e1de9140,OOM issue
48bb6528-ab44-6604-4d3c1a64a0d3,genie
10d5d655-8abc-d13d-74ea8494bc52,genie
435daae1-93f8-0a75-c1f7eb8a4f8f,2201190040004233-genie acess
c0a9b249-0bb1-0dbe-bd0f2eb343bf,Databricks Job getting timed out but validation is completed
143e18dc-7696-6f03-e7f511096045,ARR | 2202210030002531 | java.lang.OutOfMemoryError: Java heap space
1cb3a01f-90e3-b26d-f41d8506f7f5,Simba Spark ODBC Driver issue
d5e8f239-0402-8205-a2c78809e394,Unable to connect to Azure Devops Repo
48a6ce55-b980-2448-e5d178398727, Remote RPC client disassociated
d0e1d283-6c27-7f1f-f5690920608e,The output of the notebook is too large
3aa40fe0-0df3-ff3f-5c056ab6ac47,REQUEST_LIMIT_EXCEEDED in Azure Databricks
91861be8-6283-7e02-5597ee1a3d9b,reset password email not received
de608e88-e4be-001b-e95976ec6bc1,There is a pipeline on ADF which has databricks notebooks that used to run for 6 hours now for even a 
bfc1fbe7-38f5-d237-d4a13b91d869,Integration to AWS
ec792759-b9c1-47a9-d7fedbe08a61,arr | 2202210030002531 | genie
62d1f910-67ad-7d39-4a894ed56d77,ARR 2203070030002032 - Jobs failing with The spark driver has stopped unexpectedly and is restarting. Your notebook will be automatically reattached.
c1392395-5860-eea8-0f1ebc43682b,Error during  job execution
08e16bf2-65fb-812b-e2c070076582,Genie for 2203070030002032
5c34dd1e-21ed-9982-3280f38f1c44, Databricks to ADLS\\Blob Connect through private endpoint
3ce86fe0-345e-d4fa-bbd360481237,Genie Access - SR 2202220030001699
8811be8e-057d-c1a6-c852fdb884d3,genie
9001ed45-a54e-5b82-2cf2525db6f3,ARR 2203080040000533 job cluster launch failure
b627f590-e3d4-b328-82ec935b631f,Unable to install R package
af06070c-9cdc-5c14-ed4370a8a852,Follow up of 00135474
1b6e6e3f-a8e9-5117-78cba9089c1d,test 
97d41142-92c3-07fc-36f97915571c,CSS-SFMC-OSA US BARO Fact Calc : SparkOutOfMemoryError Issue
b67b32d1-7d3b-cea7-81ea94a2990a,genie for #2203020030002210 
3279ee17-9c7f-5320-4ae171d3b9c3,Need help in risk assessment in migration from ADFS to Azure AD for SSO auth
6ebe2c0e-1402-434b-33e115c51b25,Error on previewing the data in Power BI cinnecting to Databricks source
eccac978-efec-ac12-91822ac7e24d,Getting failures for data type mismatch
f28c76c5-9ce4-6dd7-98cebded6a15,Facing erros while reading csv from databricks
